City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,kutum,14.2,24.6667,14.4,23,57,3.23,SD,1675304498
84,te anau,-45.4167,167.7167,20.71,85,100,2.9,NZ,1675303913
85,mahon,39.8885,4.2658,7.31,87,20,2.57,ES,1675304510
86,tiksi,71.6872,128.8694,-27.03,99,100,3.68,RU,1675304510
87,constitucion,-35.3333,-72.4167,15.53,70,0,5.9,CL,1675303974
88,togur,58.3631,82.8265,-20.3,99,50,2.32,RU,1675304511
89,urengoy,65.9667,78.3667,-16.75,98,84,3.64,RU,1675304511
90,saint-philippe,-21.3585,55.7679,23.77,83,13,2.95,RE,1675303903
91,biak,-0.9131,122.8766,28.04,66,100,2.23,ID,1675304511
92,chake chake,-5.2459,39.7666,24.24,87,98,2.05,TZ,1675304512
93,rorvik,64.8621,11.2373,-0.94,93,100,2.57,NO,1675304512
94,bilma,18.6853,12.9164,14.33,20,100,4.47,NE,1675304003
95,nikolskoye,59.7035,30.7861,-1.06,96,100,2.85,RU,1675304512
96,sambava,-14.2667,50.1667,24.67,88,100,4.31,MG,1675304513
97,saskylakh,71.9167,114.0833,-24.57,98,100,3.19,RU,1675303954
98,kemijarvi,66.7131,27.4306,-7.26,98,100,0.33,FI,1675304513
99,shangzhi,45.2167,127.9667,-15.47,82,8,5.39,CN,1675304514
100,namie,37.4833,141.0,3.73,50,55,7.62,JP,1675303980
101,leningradskiy,69.3833,178.4167,-23.16,99,79,2.57,RU,1675303927
102,skjervoy,70.0311,20.9714,-11.0,67,48,2.0,NO,1675304514
103,igarka,67.4667,86.5833,-13.31,96,100,3.77,RU,1675304504
104,lander,42.833,-108.7307,2.33,70,0,1.54,US,1675304515
105,ribeira grande,38.5167,-28.7,12.1,80,20,4.02,PT,1675303921
106,ixtapa,20.7,-105.2,22.57,83,40,2.06,MX,1675304492
107,sheregesh,52.9209,87.9869,-19.73,100,93,1.45,RU,1675304515
108,petrolina,-9.3986,-40.5008,26.03,73,40,1.54,BR,1675304515
109,da nang,16.0678,108.2208,22.99,94,75,1.03,VN,1675304516
110,tuktoyaktuk,69.4541,-133.0374,-37.0,67,75,2.06,CA,1675304385
111,east london,-33.0153,27.9116,20.76,83,16,5.72,ZA,1675304377
112,horta,38.5333,-28.6333,11.12,81,40,4.47,PT,1675304516
113,namibe,-15.1961,12.1522,21.74,81,100,2.09,AO,1675304517
114,sassandra,4.95,-6.0833,24.82,94,3,1.78,CI,1675304517
115,beringovskiy,63.05,179.3167,-5.75,96,100,4.03,RU,1675303929
116,poum,-20.2333,164.0167,27.45,64,100,4.03,NC,1675303931
117,kamaishi,39.2667,141.8833,1.26,52,5,6.58,JP,1675304518
118,havre-saint-pierre,50.2334,-63.5986,-11.0,78,75,2.06,CA,1675304355
119,mount isa,-20.7333,139.5,22.87,94,75,3.09,AU,1675304149
120,iglesias,39.3114,8.535,8.85,70,90,3.71,IT,1675304518
121,kavieng,-2.5744,150.7967,29.81,61,100,3.66,PG,1675303839
122,wanlaweyn,2.6185,44.8938,22.71,80,37,4.04,SO,1675304518
123,torbay,47.6666,-52.7314,-12.07,85,20,2.06,CA,1675304359
124,fortuna,40.5982,-124.1573,8.88,73,0,0.0,US,1675304450
125,yar-sale,66.8333,70.8333,-12.83,96,100,4.44,RU,1675303933
126,vilhena,-12.7406,-60.1458,20.47,96,100,0.44,BR,1675304519
127,labuhan,-6.8844,112.2051,26.46,79,100,2.81,ID,1675304519
128,lodwar,3.1191,35.5973,26.58,43,7,0.57,KE,1675304520
129,zyryanka,65.75,150.85,-31.32,97,93,2.32,RU,1675304520
130,vila velha,-20.3297,-40.2925,24.97,89,40,3.6,BR,1675304509
131,vardo,70.3705,31.1107,-0.01,59,20,7.2,NO,1675304361
132,geraldton,-28.7667,114.6,38.23,20,0,8.23,AU,1675304326
133,yeppoon,-23.1333,150.7333,32.88,59,14,0.43,AU,1675304015
134,kushima,31.4583,131.2333,14.12,64,49,4.52,JP,1675304377
135,tolcsva,48.2833,21.45,0.26,86,100,6.7,HU,1675304521
136,bambous virieux,-20.3428,57.7575,24.01,82,31,4.13,MU,1675303926
137,chapleau,47.8405,-83.4034,-11.95,72,40,3.09,CA,1675304521
138,arraial do cabo,-22.9661,-42.0278,25.92,78,20,4.63,BR,1675304395
139,altay,47.8667,88.1167,-10.53,57,12,3.38,CN,1675304522
140,merauke,-8.4667,140.3333,27.4,81,100,5.46,ID,1675303952
141,port elizabeth,-33.918,25.5701,19.62,84,75,4.12,ZA,1675304523
142,vung tau,10.346,107.0843,26.52,75,95,5.13,VN,1675304523
143,antsohihy,-14.8796,47.9875,22.88,94,100,1.86,MG,1675304523
144,pedernales,18.0384,-71.744,24.07,73,7,2.26,DO,1675304524
145,socastee,33.6835,-78.9984,11.12,85,100,3.09,US,1675304524
146,coos bay,43.3665,-124.2179,8.99,90,0,5.66,US,1675304241
147,belyy yar,53.6039,91.3903,-19.06,92,100,1.0,RU,1675304341
148,bulawayo,-20.15,28.5833,16.83,95,100,3.43,ZW,1675304525
149,mountain home,43.133,-115.6912,-3.29,59,0,3.6,US,1675304260
150,vostok,46.4856,135.8833,-18.04,89,100,5.18,RU,1675304421
151,bluff,-46.6,168.3333,20.09,80,77,5.01,NZ,1675304525
152,huadian,42.9633,126.7478,-13.05,83,24,3.99,CN,1675304526
153,tazovskiy,67.4667,78.7,-18.08,99,92,3.1,RU,1675304506
154,rawson,-43.3002,-65.1023,18.78,65,26,7.24,AR,1675304460
155,tessalit,20.1986,1.0114,17.58,14,87,3.43,ML,1675304355
156,castleblayney,54.1167,-6.7333,9.34,94,100,6.19,IE,1675304526
157,hokitika,-42.7167,170.9667,18.08,93,100,3.92,NZ,1675304527
158,kilindoni,-7.9139,39.6668,26.45,83,82,2.15,TZ,1675304527
159,otradnoye,59.7775,30.8181,-0.97,96,100,2.79,RU,1675304527
160,praya,14.9215,-23.5087,20.3,73,75,7.2,CV,1675304032
161,aklavik,68.2191,-135.0107,-33.57,100,62,3.01,CA,1675304444
162,katsuura,35.1333,140.3,7.01,34,100,5.34,JP,1675304528
163,qasigiannguit,68.8193,-51.1922,-9.86,69,100,2.86,GL,1675304528
164,lere,10.387,8.5726,19.72,22,58,2.84,NG,1675304529
165,umm kaddadah,13.6017,26.6876,16.6,19,1,7.06,SD,1675304312
166,nouadhibou,20.931,-17.0347,16.42,78,100,9.85,MR,1675304529
167,cockburn town,21.4612,-71.1419,25.35,71,0,9.15,TC,1675303935
168,acapulco,16.8634,-99.8901,26.9,74,0,2.06,MX,1675304437
169,ciudad bolivar,8.1222,-63.5497,26.35,57,62,6.61,VE,1675303996
170,pathein,16.7833,94.7333,25.53,60,4,2.96,MM,1675304530
171,yakovlevka,44.425,133.4772,-11.38,68,88,2.46,RU,1675304530
172,havelock,34.8791,-76.9013,6.08,83,100,5.14,US,1675304143
173,srednekolymsk,67.45,153.6833,-30.44,99,98,2.58,RU,1675304531
174,ponta do sol,32.6667,-17.1,17.35,66,54,4.68,PT,1675304531
175,bathsheba,13.2167,-59.5167,24.34,73,20,3.6,BB,1675304039
176,bethel,41.3712,-73.414,-0.69,50,0,2.06,US,1675303975
177,kieta,-6.2167,155.6333,29.93,66,72,4.08,PG,1675304377
178,half moon bay,37.4636,-122.4286,12.73,59,20,1.54,US,1675304102
179,kodino,63.7198,39.6447,-9.77,97,71,2.03,RU,1675304532
180,ahipara,-35.1667,173.1667,24.14,66,100,3.52,NZ,1675304371
181,north bend,43.4065,-124.2243,8.98,90,0,5.66,US,1675303862
182,asau,46.4333,26.4,-0.49,87,97,3.79,RO,1675304461
183,new norfolk,-42.7826,147.0587,20.51,39,98,2.68,AU,1675304532
184,salinopolis,-0.6136,-47.3561,24.24,87,100,0.5,BR,1675304272
185,konza,-1.7426,37.1294,13.16,94,7,1.51,KE,1675304533
186,rauma,61.1272,21.5113,-2.98,81,100,3.49,FI,1675304533
187,chapais,49.7834,-74.8492,-18.12,94,100,2.9,CA,1675304515
188,darhan,49.4867,105.9228,-21.45,93,99,2.08,MN,1675304533
189,bengkulu,-3.8004,102.2655,26.84,74,96,2.35,ID,1675303923
190,sao filipe,14.8961,-24.4956,21.66,72,53,4.81,CV,1675303822
191,padang,-0.9492,100.3543,26.03,75,77,1.69,ID,1675303837
192,bambanglipuro,-7.95,110.2833,25.48,83,100,1.23,ID,1675304534
193,broome,42.2506,-75.833,-5.64,70,0,3.09,US,1675304476
194,nuristan,35.3,70.8333,-10.43,82,100,2.28,AF,1675304535
195,victoria,22.2855,114.1577,23.03,78,0,2.24,HK,1675304012
196,gushikawa,26.3544,127.8686,21.0,78,75,2.06,JP,1675304535
197,malanje,-9.5402,16.341,16.61,97,100,0.65,AO,1675304536
198,narsaq,60.9167,-46.05,-7.88,92,100,2.05,GL,1675304536
199,sao jose da coroa grande,-8.8978,-35.1478,25.7,78,14,2.43,BR,1675304474
200,kaeo,-35.1,173.7833,25.74,83,100,2.19,NZ,1675304003
201,kapit,2.0167,112.9333,29.49,66,93,0.85,MY,1675304537
202,hue,16.4667,107.6,22.06,88,75,3.09,VN,1675304537
203,buzuluk,52.7807,52.2635,-15.83,95,45,1.71,RU,1675304537
204,dikson,73.5069,80.5464,-20.61,93,97,3.6,RU,1675304538
205,adrar,20.5022,-10.0711,15.66,16,100,4.62,MR,1675304024
206,norman wells,65.282,-126.8329,-37.98,67,40,1.03,CA,1675304356
207,quatre cocos,-20.2078,57.7625,24.49,83,33,4.34,MU,1675304385
208,palmer,42.1584,-72.3287,-3.35,58,0,2.57,US,1675304249
209,forst,51.7333,14.6333,4.37,82,100,9.51,DE,1675304538
210,hyderabad,17.3753,78.4744,18.82,41,99,3.32,IN,1675304289
211,puerto ayora,-0.7393,-90.3518,25.31,95,81,2.04,EC,1675304539
212,klaksvik,62.2266,-6.589,2.51,63,100,3.85,FO,1675304539
213,jutai,-5.1833,-68.9,22.69,99,100,0.56,BR,1675304540
214,chernushka,56.5072,56.0766,-21.2,95,75,1.05,RU,1675304540
215,provideniya,64.3833,-173.3,-3.94,80,75,7.0,RU,1675304406
216,cherskiy,68.75,161.3,-20.63,98,98,1.61,RU,1675304540
217,nioro,13.35,-15.75,22.26,23,4,3.99,GM,1675304541
218,mabaruma,8.2,-59.7833,21.43,90,26,1.12,GY,1675304541
219,bac lieu,9.285,105.7244,27.46,72,99,7.85,VN,1675304541
220,kodiak,57.79,-152.4072,1.73,75,0,2.57,US,1675304542
221,san felipe,10.3399,-68.7425,20.55,91,50,2.03,VE,1675304542
222,tignere,7.3667,12.65,19.45,22,0,0.97,CM,1675304543
223,caravelas,-17.7125,-39.2481,23.93,87,98,2.4,BR,1675303939
224,port hedland,-20.3167,118.5667,31.29,62,1,3.95,AU,1675303969
225,pochutla,15.7432,-96.4661,22.55,74,4,2.01,MX,1675304044
226,xam nua,20.4197,104.0439,20.66,48,41,1.04,LA,1675304543
227,sorland,67.667,12.6934,0.92,46,24,0.54,NO,1675304373
228,lac du bonnet,50.2536,-96.0612,-16.64,97,100,2.74,CA,1675304544
229,axim,4.8699,-2.2405,25.56,91,0,2.0,GH,1675304544
230,kununurra,-15.7667,128.7333,31.99,62,40,3.6,AU,1675304343
